,time,frame,n_pp_at_time,IDs_people,bb_people
330,0:00:17:080000,427,2,[5 6],"[141, 207, 335, 477],[313, 1, 604, 477]"
331,0:00:17:120000,428,2,[5 6],"[140, 207, 332, 476],[341, 0, 598, 479]"
332,0:00:17:160000,429,2,[5 6],"[137, 207, 333, 475],[354, 2, 599, 479]"
333,0:00:17:200000,430,2,[5 6],"[134, 208, 332, 475],[367, 1, 600, 479]"
334,0:00:17:240000,431,2,[5 6],"[130, 209, 331, 474],[385, 0, 600, 479]"
335,0:00:17:280000,432,2,[5 6],"[131, 209, 330, 474],[394, 0, 601, 479]"
336,0:00:17:320000,433,2,[5 6],"[126, 207, 335, 471],[396, 0, 604, 479]"
337,0:00:17:360000,434,2,[5 6],"[124, 207, 334, 471],[388, 0, 606, 478]"
338,0:00:17:400000,435,2,[5 6],"[128, 206, 332, 470],[375, 0, 607, 476]"
339,0:00:17:440000,436,2,[5 6],"[132, 208, 328, 472],[363, 1, 605, 475]"
340,0:00:17:480000,437,2,[5 6],"[137, 208, 326, 474],[363, 1, 601, 471]"
341,0:00:17:520000,438,2,[5 6],"[139, 208, 326, 475],[342, 3, 605, 470]"
342,0:00:17:560000,439,2,[5 6],"[140, 208, 325, 475],[345, 3, 598, 469]"
343,0:00:17:600000,440,2,[5 6],"[140, 208, 325, 475],[319, 3, 602, 473]"
344,0:00:17:640000,441,2,[5 6],"[142, 209, 325, 473],[305, 4, 597, 474]"
345,0:00:17:680000,442,2,[5 6],"[144, 209, 326, 472],[294, 4, 595, 474]"
346,0:00:17:720000,443,2,[5 6],"[144, 209, 326, 473],[289, 5, 592, 476]"
347,0:00:17:760000,444,2,[5 6],"[141, 209, 327, 473],[286, 5, 588, 477]"
348,0:00:17:800000,445,2,[5 6],"[142, 209, 326, 472],[286, 4, 586, 477]"
349,0:00:17:840000,446,2,[5 6],"[145, 209, 325, 472],[284, 6, 584, 478]"
350,0:00:17:880000,447,2,[5 6],"[146, 209, 324, 471],[286, 6, 582, 479]"
351,0:00:17:920000,448,2,[5 6],"[146, 209, 323, 471],[287, 7, 580, 479]"
352,0:00:17:960000,449,2,[5 6],"[145, 209, 321, 471],[290, 8, 578, 479]"
353,0:00:18,450,2,[5 6],"[142, 209, 321, 472],[292, 9, 574, 477]"
354,0:00:18:040000,451,2,[5 6],"[140, 209, 322, 472],[290, 9, 570, 477]"
355,0:00:18:080000,452,2,[5 6],"[141, 209, 319, 473],[290, 10, 566, 476]"
356,0:00:18:120000,453,2,[5 6],"[142, 208, 320, 474],[291, 11, 562, 476]"
357,0:00:18:160000,454,2,[5 6],"[146, 208, 318, 474],[287, 5, 558, 475]"
358,0:00:18:200000,455,2,[5 6],"[146, 208, 318, 473],[286, 6, 557, 475]"
359,0:00:18:240000,456,2,[5 6],"[141, 207, 319, 473],[286, 7, 555, 474]"
360,0:00:18:280000,457,2,[5 6],"[145, 207, 318, 473],[280, 5, 555, 476]"
361,0:00:18:320000,458,2,[5 6],"[149, 207, 318, 471],[281, 4, 553, 476]"
362,0:00:18:360000,459,2,[5 6],"[153, 207, 318, 471],[285, 4, 549, 478]"
363,0:00:18:400000,460,2,[5 6],"[154, 208, 317, 472],[283, 4, 549, 479]"
364,0:00:18:440000,461,2,[5 6],"[155, 208, 318, 474],[280, 4, 549, 479]"
365,0:00:18:480000,462,2,[5 6],"[159, 206, 314, 475],[280, 4, 548, 479]"
366,0:00:18:520000,463,2,[5 6],"[155, 205, 310, 474],[278, 4, 548, 479]"
367,0:00:18:560000,464,2,[5 6],"[140, 204, 307, 474],[277, 6, 545, 478]"
368,0:00:18:600000,465,2,[5 6],"[145, 205, 300, 475],[273, 6, 544, 478]"
369,0:00:18:640000,466,2,[5 6],"[148, 206, 294, 476],[268, 6, 542, 479]"
370,0:00:18:680000,467,2,[5 6],"[152, 209, 287, 475],[268, 6, 539, 479]"
371,0:00:18:720000,468,2,[5 6],"[152, 215, 286, 473],[272, 6, 533, 478]"
372,0:00:18:760000,469,2,[5 6],"[149, 216, 282, 475],[276, 7, 529, 478]"
373,0:00:18:800000,470,2,[5 6],"[140, 216, 283, 476],[283, 6, 525, 479]"
374,0:00:18:840000,471,2,[5 6],"[137, 219, 283, 476],[283, 6, 523, 479]"
375,0:00:18:880000,472,2,[5 6],"[128, 221, 279, 474],[284, 6, 519, 479]"
376,0:00:18:920000,473,2,[5 6],"[117, 219, 275, 475],[281, 3, 514, 479]"
377,0:00:18:960000,474,2,[5 6],"[103, 218, 273, 475],[278, 1, 510, 479]"
378,0:00:19,475,2,[5 6],"[70, 219, 258, 475],[320, 2, 498, 476]"
379,0:00:19:040000,476,2,[5 6],"[34, 219, 246, 475],[331, 0, 496, 475]"
380,0:00:19:080000,477,2,[5 6],"[31, 219, 231, 475],[332, 0, 495, 475]"
381,0:00:19:120000,478,2,[5 6],"[25, 218, 227, 477],[332, 0, 493, 476]"
382,0:00:19:160000,479,2,[5 6],"[25, 217, 218, 477],[317, 2, 490, 475]"
383,0:00:19:200000,480,2,[5 6],"[28, 215, 210, 477],[315, 5, 482, 475]"
384,0:00:19:240000,481,2,[5 6],"[28, 213, 202, 478],[278, 7, 483, 475]"
385,0:00:19:280000,482,2,[5 6],"[17, 212, 199, 478],[201, 5, 485, 478]"
386,0:00:19:320000,483,2,[5 6],"[15, 211, 192, 479],[183, 5, 471, 479]"
387,0:00:19:360000,484,2,[5 6],"[14, 213, 189, 478],[170, 7, 465, 479]"
388,0:00:19:400000,485,2,[5 6],"[5, 213, 186, 477],[169, 7, 459, 479]"
389,0:00:19:440000,486,2,[5 6],"[6, 214, 180, 476],[182, 4, 448, 479]"
390,0:00:19:480000,487,2,[5 6],"[5, 214, 174, 475],[182, 2, 444, 478]"
391,0:00:19:520000,488,2,[5 6],"[4, 214, 165, 475],[201, 0, 433, 477]"
392,0:00:19:560000,489,2,[5 6],"[0, 216, 161, 475],[204, 2, 429, 475]"
393,0:00:19:600000,490,2,[5 6],"[0, 222, 156, 473],[219, 2, 424, 473]"
394,0:00:19:640000,491,2,[5 6],"[0, 221, 152, 474],[218, 1, 421, 474]"
395,0:00:19:680000,492,2,[5 6],"[0, 222, 155, 475],[217, 1, 414, 477]"
396,0:00:19:720000,493,2,[5 6],"[3, 222, 132, 477],[216, 0, 412, 478]"
397,0:00:19:760000,494,2,[5 6],"[0, 221, 122, 476],[207, 0, 410, 476]"
398,0:00:19:800000,495,2,[5 6],"[2, 224, 103, 476],[206, 4, 408, 472]"
399,0:00:19:840000,496,2,[5 6],"[0, 225, 94, 476],[203, 8, 406, 471]"
400,0:00:19:880000,497,1,[6],"[200, 10, 401, 472]"
401,0:00:19:920000,498,1,[6],"[188, 3, 398, 474]"
402,0:00:19:960000,499,1,[6],"[182, 1, 393, 478]"
403,0:00:20,500,1,[6],"[180, 2, 382, 479]"
404,0:00:20:040000,501,1,[6],"[176, 5, 379, 478]"
405,0:00:20:080000,502,1,[6],"[179, 8, 365, 476]"
406,0:00:20:120000,503,1,[6],"[173, 11, 358, 476]"
407,0:00:20:160000,504,1,[6],"[168, 11, 350, 478]"
408,0:00:20:200000,505,1,[6],"[165, 11, 348, 479]"
409,0:00:20:240000,506,1,[6],"[162, 9, 340, 479]"
410,0:00:20:280000,507,1,[6],"[158, 7, 337, 479]"
411,0:00:20:320000,508,1,[6],"[161, 8, 329, 479]"
412,0:00:20:360000,509,1,[6],"[158, 9, 323, 479]"
413,0:00:20:400000,510,1,[6],"[147, 11, 318, 479]"
414,0:00:20:440000,511,1,[6],"[129, 14, 315, 476]"
415,0:00:20:480000,512,1,[6],"[120, 15, 309, 475]"
416,0:00:20:520000,513,1,[6],"[103, 14, 310, 475]"
417,0:00:20:560000,514,1,[6],"[103, 16, 301, 474]"
418,0:00:20:600000,515,1,[6],"[96, 18, 296, 473]"
419,0:00:20:640000,516,1,[6],"[96, 19, 288, 474]"
420,0:00:20:680000,517,1,[6],"[92, 22, 285, 475]"
421,0:00:20:720000,518,1,[6],"[95, 22, 280, 475]"
422,0:00:20:760000,519,1,[6],"[78, 23, 280, 475]"
423,0:00:20:800000,520,1,[6],"[69, 23, 274, 475]"
424,0:00:20:840000,521,1,[6],"[60, 24, 268, 474]"
425,0:00:20:880000,522,1,[6],"[49, 23, 263, 472]"
426,0:00:20:920000,523,1,[6],"[51, 22, 253, 470]"
427,0:00:20:960000,524,1,[6],"[43, 20, 250, 474]"
428,0:00:21,525,1,[6],"[30, 20, 239, 475]"
429,0:00:21:040000,526,1,[6],"[29, 18, 222, 474]"
430,0:00:21:080000,527,1,[6],"[7, 15, 219, 476]"
431,0:00:21:120000,528,1,[6],"[6, 15, 189, 476]"
432,0:00:21:160000,529,1,[6],"[2, 15, 175, 478]"
433,0:00:21:200000,530,1,[6],"[0, 13, 171, 478]"
434,0:00:21:240000,531,1,[6],"[0, 13, 163, 478]"
435,0:00:21:280000,532,1,[6],"[0, 12, 154, 478]"
